"Institution";"Country";"Founded";"Students";"Budget";"Rank"
"University of Glasgow";"Scotland";1451;30805;626.5;92
"University of Edinburgh";"Scotland";1583;34275;1102;30
"University of St Andrews";"Scotland";1413;8984;251.2;201
"University of Aberdeen";"Scotland";1495;14775;219.5;178
"University of Strathclyde";"Scotland";1964;22640;304.4;401
"LSE";"England";1895;11850;415.1;27
"UCL";"England";1826;41180;1451.1;16
"University of Cambridge";"England";1209;23247;2192;6
"University of Oxford";"England";1096;24515;2450;1
"University of Warwick";"England";1965;27278;688.6;77
